Equipo,Camisola,Posicion,Nombre,Fehca_nacimiento,Altura,Peso,Goles
Germany,21,MF,Ilkay GUENDOGAN,1990/10/24,180,79,0
Germany,22,GK,Marc-Andre TER STEGEN,1992/04/30,187,85,0
Germany,23,FW,Mario GOMEZ,1985/07/10,189,82,0
Iceland,1,GK,Hannes HALLDORSSON,1984/04/27,193,88,0
Iceland,2,DF,Birkir SAEVARSSON,1984/11/11,186,75,0
Iceland,3,MF,Samuel FRIDJONSSON,1996/02/22,185,78,0
Iceland,4,MF,Albert GUDMUNDSSON,1997/06/15,177,80,0
Iceland,5,DF,Sverrir INGASON,1993/08/05,188,80,0
Iceland,6,DF,Ragnar SIGURDSSON,1986/06/19,187,86,0
Iceland,7,MF,Johann GUDMUNDSSON,1990/10/27,179,77,0
Iceland,8,MF,Birkir BJARNASON,1988/05/27,183,77,0
Iceland,9,FW,Bjorn SIGURDARSON,1991/02/26,187,85,0
Iceland,10,MF,Gylfi SIGURDSSON,1989/09/08,186,82,0
Iceland,11,FW,Alfred FINNBOGASON,1989/02/01,185,79,1
Iceland,12,GK,Frederik SCHRAM,1995/01/19,198,92,0
Iceland,13,GK,Runar RUNARSSON,1995/02/18,186,76,0
Iceland,14,DF,Kari ARNASON,1982/10/13,191,82,0
Iceland,15,DF,Holmar EYJOLFSSON,1990/08/06,188,81,0
Iceland,16,MF,Olafur SKULASON,1983/04/01,184,79,0
Iceland,17,MF,Aron GUNNARSSON,1989/04/22,181,86,0
Iceland,18,DF,Hordur MAGNUSSON,1993/02/11,191,85,0
Iceland,19,MF,Rurik GISLASON,1988/02/25,184,78,0
Iceland,20,MF,Emil HALLFREDSSON,1984/06/29,186,86,0
Iceland,21,MF,Arnor TRAUSTASON,1993/04/30,183,73,0
Iceland,22,FW,Jon BODVARSSON,1992/05/25,189,89,0
Iceland,23,DF,Ari SKULASON,1987/05/14,170,63,0
IR Iran,1,GK,Ali BEIRANVAND,1992/09/21,194,85,0
IR Iran,2,MF,Mehdi TORABI,1994/09/10,185,71,0
IR Iran,3,DF,Ehsan HAJI SAFI,1990/02/25,178,75,0
IR Iran,4,DF,Roozbeh CHESHMI,1993/07/24,192,80,0
IR Iran,5,DF,Milad MOHAMMADI,1993/09/29,178,69,0
IR Iran,6,MF,Saeid EZATOLAHI,1996/10/01,190,82,0
IR Iran,7,MF,Masoud SHOJAEI,1984/06/09,187,79,0
IR Iran,8,DF,Morteza POURALIGANJI,1992/04/19,187,83,0
IR Iran,9,MF,Omid EBRAHIMI,1987/09/16,178,75,0
IR Iran,10,FW,Karim ANSARIFARD,1990/04/03,187,80,0
IR Iran,11,MF,Vahid AMIRI,1988/04/02,179,71,0
IR Iran,12,GK,Rashid MAZAHERI,1989/05/18,192,84,0
IR Iran,13,DF,Reza KHANZADEH Mohammad,1991/05/11,186,80,0
IR Iran,14,FW,Saman GHODDOS,1993/09/06,177,79,0
IR Iran,15,DF,Pejman MONTAZERI,1983/09/06,185,77,0
IR Iran,16,FW,Reza GHOOCHANNEJHAD,1987/09/20,180,79,0
IR Iran,17,FW,Mehdi TAREMI,1992/07/18,187,80,0
IR Iran,18,FW,Alireza JAHANBAKHSH,1993/08/11,180,77,0
IR Iran,19,DF,Majid HOSSEINI,1996/06/20,183,78,0
IR Iran,20,FW,Sardar AZMOUN,1995/01/01,186,80,0
IR Iran,21,FW,Ashkan DEJAGAH,1986/07/05,181,78,0
IR Iran,22,GK,Amir ABEDZADEH,1993/04/26,186,80,0
IR Iran,23,DF,Ramin REZAEIAN,1990/03/21,185,75,0
Japan,1,GK,Eiji KAWASHIMA,1983/03/20,185,74,0
Japan,2,DF,Naomichi UEDA,1994/10/24,186,79,0
Japan,3,DF,Gen SHOJI,1992/12/11,182,74,0
Japan,4,MF,Keisuke HONDA,1986/06/13,182,74,1
Japan,5,DF,Yuto NAGATOMO,1986/09/12,170,68,0
Japan,6,DF,Wataru ENDO,1993/02/09,178,75,0
Japan,7,MF,Gaku SHIBASAKI,1992/05/28,175,64,0
Japan,8,MF,Genki HARAGUCHI,1991/05/09,178,68,0
Japan,9,FW,Shinji OKAZAKI,1986/04/16,174,70,0
Japan,10,MF,Shinji KAGAWA,1989/03/17,175,68,1
Japan,11,MF,Takashi USAMI,1992/05/06,178,72,0
Japan,12,GK,Masaaki HIGASHIGUCHI,1986/05/12,184,78,0
Japan,13,FW,Yoshinori MUTO,1992/07/15,179,72,0
Japan,14,MF,Takashi INUI,1988/06/02,169,59,1
Japan,15,FW,Yuya OSAKO,1990/05/18,182,71,1
Japan,16,MF,Hotaru YAMAGUCHI,1990/10/06,173,72,0
Japan,17,MF,Makoto HASEBE,1984/01/18,180,72,0
Japan,18,MF,Ryota OSHIMA,1993/01/23,168,64,0
Japan,19,DF,Hiroki SAKAI,1990/04/12,183,70,0
Japan,20,DF,Tomoaki MAKINO,1987/05/11,182,77,0
Japan,21,DF,Gotoku SAKAI,1991/03/14,176,74,0
Japan,22,DF,Maya YOSHIDA,1988/08/24,189,78,0
Japan,23,GK,Kosuke NAKAMURA,1995/02/27,184,72,0
Korea Republic,1,GK,Seunggyu KIM,1990/09/30,187,80,0
Korea Republic,2,DF,Yong LEE,1986/12/24,180,74,0
Korea Republic,3,DF,Seunghyun JUNG,1994/04/03,188,74,0
Korea Republic,4,DF,Bansuk OH,1988/05/20,189,79,0
Korea Republic,5,DF,Youngsun YUN,1988/10/04,185,78,1
Korea Republic,6,DF,Jooho PARK,1987/01/16,174,71,0
Korea Republic,7,FW,Heungmin SON,1992/07/08,183,76,2
Korea Republic,8,MF,Sejong JU,1990/10/30,176,70,0
Korea Republic,9,FW,Shinwook KIM,1988/04/14,197,97,0
Korea Republic,10,MF,Seungwoo LEE,1998/01/06,170,63,0
Korea Republic,11,FW,Heechan HWANG,1996/01/26,177,77,0
Korea Republic,12,DF,Minwoo KIM,1990/02/25,172,69,0
Korea Republic,13,MF,Jacheol KOO,1989/02/27,182,73,0
Korea Republic,14,DF,Chul HONG,1990/09/17,176,67,0
Korea Republic,15,MF,Wooyoung JUNG,1989/12/14,186,78,0
Korea Republic,16,MF,Sungyueng KI,1989/01/24,186,75,0
Korea Republic,17,MF,Jaesung LEE,1992/08/10,180,70,0
Korea Republic,18,MF,Seonmin MOON,1992/06/09,172,68,0
Korea Republic,19,DF,Younggwon KIM,1990/02/27,184,74,0
Korea Republic,20,DF,Hyunsoo JANG,1991/09/28,187,77,0
Korea Republic,21,GK,Jinhyeon KIM,1987/07/06,193,82,0
Korea Republic,22,DF,Yohan GO,1988/03/10,170,65,0
Korea Republic,23,GK,Hyeonwoo JO,1991/09/25,189,75,0
Mexico,1,GK,Jose CORONA,1981/01/26,182,80,0
Mexico,2,DF,Hugo AYALA,1987/03/31,188,82,0
Mexico,3,DF,Carlos SALCEDO,1993/09/29,189,83,0
Mexico,4,DF,Rafael MARQUEZ,1979/02/13,184,77,0
Mexico,5,DF,Diego REYES,1992/09/19,190,77,0
Mexico,6,MF,Jonathan DOS SANTOS,1990/04/26,173,69,0
Mexico,7,MF,Miguel LAYUN,1988/06/25,180,72,0
Mexico,8,FW,Marco FABIAN,1989/07/21,171,70,0
Mexico,9,FW,Raul JIMENEZ,1991/05/05,188,79,0
Mexico,10,MF,Giovani DOS SANTOS,1989/05/11,178,70,0
Mexico,11,FW,Carlos VELA,1989/03/01,178,78,1
Mexico,12,GK,Alfredo TALAVERA,1982/09/18,188,84,0
Mexico,13,GK,Guillermo OCHOA,1985/07/13,185,76,0
Mexico,14,FW,Javier HERNANDEZ,1988/06/01,175,71,1
Mexico,15,DF,Hector MORENO,1988/01/17,182,82,0
Mexico,16,DF,Hector HERRERA,1990/04/19,180,79,0
Mexico,17,MF,Jesus CORONA,1993/01/06,174,69,0
Mexico,18,MF,Andres GUARDADO,1986/09/28,167,63,0
Mexico,19,FW,Oribe PERALTA,1984/01/12,178,72,0
Mexico,20,MF,Javier AQUINO,1990/02/11,166,59,0
Mexico,21,FW,Edson ALVAREZ,1997/10/24,186,72,0
Mexico,22,FW,Hirving LOZANO,1995/07/30,176,66,1
Mexico,23,MF,Jesus GALLARDO,1994/08/15,177,74,0
Morocco,1,GK,Yassine BOUNOU,1991/04/05,190,77,0
Morocco,2,DF,Achraf HAKIMI,1998/11/04,179,65,0
Morocco,3,DF,Hamza MENDYL,1997/10/21,179,70,0
Morocco,4,DF,Manuel DA COSTA,1986/05/06,187,78,0
Morocco,5,DF,Mehdi BENATIA,1987/04/17,188,88,0
Morocco,6,DF,Romain SAISS,1990/03/26,190,76,0
Morocco,7,MF,Hakim ZIYACH,1993/03/19,180,70,0
Morocco,8,MF,Karim EL AHMADI,1985/01/27,179,78,0
Morocco,9,FW,Ayoub EL KAABI,1993/06/25,182,72,0
Morocco,10,MF,Younes BELHANDA,1990/02/25,174,75,0
Morocco,11,MF,Faycal FAJR,1988/08/01,178,72,0
Morocco,12,GK,Monir EL KAJOUI,1989/05/10,190,88,0
Morocco,13,FW,Khalid BOUTAIB,1987/04/24,190,80,1
Morocco,14,MF,Mbark BOUSSOUFA,1984/08/15,167,59,0
Morocco,15,MF,Youssef AIT BENNASSER,1996/07/07,184,75,0
Morocco,16,MF,Noureddine AMRABAT,1987/03/31,178,77,0
Morocco,17,DF,Nabil DIRAR,1986/02/25,187,82,0
Morocco,18,MF,Amine HARIT,1997/06/18,179,66,0
Morocco,19,FW,Youssef EN NESYRI,1997/06/01,188,75,1
Morocco,20,FW,Aziz BOUHADDOUZ,1987/03/30,188,80,0
Morocco,21,MF,Sofyan AMRABAT,1996/08/21,183,77,0
Morocco,22,GK,Ahmed TAGNAOUTI,1996/04/05,186,70,0
Morocco,23,MF,Mehdi CARCELA,1989/07/01,176,67,0
